text,expected,predicted,latency_sec
does village inn let you make reservations,accept_reservations,accept_reservations,0.485
can i make a reservation at chima steakhouse in chicago,accept_reservations,restaurant_reservation,0.785
does the new york restaurant take reservations,accept_reservations,accept_reservations,0.35
do you know if i can make reservations at bj's,accept_reservations,accept_reservations,0.486
any clue as to if taco bell takes reservations,accept_reservations,accept_reservations,0.458
can i make a reservation at chevy's,accept_reservations,accept_reservations,0.34
can i make reservations at grub burger,accept_reservations,accept_reservations,0.37
can you make reservations at hodak's,accept_reservations,accept_reservations,1.218
does sidetracks take reservations,accept_reservations,accept_reservations,0.383
can applebees take any reservations,accept_reservations,accept_reservations,0.408
will bj's take reservations,accept_reservations,accept_reservations,0.725
does bill's house of chop suey accept reservations,accept_reservations,accept_reservations,0.496
is it possible to do a reservation at the bellagio,accept_reservations,accept_reservations,0.385
are reservations taken at spago in beverly hills,accept_reservations,accept_reservations,0.475
does moes in la except rerservations,accept_reservations,accept_reservations,0.554
is it possible to reserve a table at white castle,accept_reservations,accept_reservations,0.359
any idea as to if taco bell takes reservations,accept_reservations,accept_reservations,0.4
do you have any idea if central needs reservations,accept_reservations,accept_reservations,0.364
do they take reservations at state bird,accept_reservations,accept_reservations,1.151
does luigi's take reservations,accept_reservations,accept_reservations,0.52
what is the reservation policy for spago in beverly hills,accept_reservations,accept_reservations,0.414
do they accept reservations at michael's,accept_reservations,accept_reservations,0.419
does tartine in san francisco take reservations,accept_reservations,accept_reservations,6.554
does bar tartine in san francisco take reservations,accept_reservations,accept_reservations,6.09
does applebees do reservations,accept_reservations,accept_reservations,3.114
is grub burger taking reservations,accept_reservations,accept_reservations,1.11
tell me if taco bell takes reservations,accept_reservations,accept_reservations,0.366
find out of grub burger takes reservations,accept_reservations,accept_reservations,3.359
does buffalo wild wings in concord take reservations,accept_reservations,accept_reservations,0.333
do they take reservations at applebeesi,accept_reservations,accept_reservations,0.386
"was a hold placed on my wells fargo account, and if so why",account_blocked,account_blocked,3.242
i think my account is blocked but i do not know the reason,account_blocked,account_blocked,0.415
can you help me unblock my account,account_blocked,account_blocked,0.36
i am confused because my account seems to have been blocked for no reason,account_blocked,account_blocked,0.833
why don't i have access to my bank account,account_blocked,account_blocked,0.405
please let me into my bank account,account_blocked,account_blocked,0.36
why cannot i take any money out from my bank account,account_blocked,account_blocked,1.066
can you find out what triggered a hold on my bank account,account_blocked,account_blocked,0.378
why did my bank account freeze,account_blocked,freeze_account,0.934
can you unlock my bank account,account_blocked,account_blocked,0.4
what reason could the bank have had for blocking my account,account_blocked,account_blocked,0.358
why is my account blocked,account_blocked,account_blocked,0.465
"help, my account is blocked",account_blocked,account_blocked,1.889
how do i unlock my bank account,account_blocked,account_blocked,0.551
can i talk to someone about why there is a hold on my checking account,account_blocked,account_blocked,1.077
did someone who is unauthorized try to get into my bank account,account_blocked,account_blocked,0.753
can you tell me why is my bank account frozen,account_blocked,account_blocked,0.386
tell me why i get an error logging in to my bank account,account_blocked,account_blocked,0.413
i get an error message when i try logging in to capital one that says i'm locked out,account_blocked,account_blocked,0.637
how come a hold was placed on my 401k account,account_blocked,account_blocked,0.457
why would a hold have been placed on my checking account,account_blocked,account_blocked,0.923
why is there a hold on my discover account,account_blocked,account_blocked,0.412
do you know why i can't log into my bank account,account_blocked,account_blocked,0.701
can you find out why is my bank account frozen,account_blocked,account_blocked,0.35
is there a reason you put a hold on my chase account,account_blocked,account_blocked,0.421
check for why is my bank account frozen,account_blocked,account_blocked,1.273
what would cause my bank account to be frozen,account_blocked,freeze_account,1.516
there seems to be an issue with my account,account_blocked,account_blocked,0.504
do you know why my bank account is frozen,account_blocked,freeze_account,0.367
"can you check what the problem with my account is, it seems to b e blocked",account_blocked,account_blocked,0.719
i want an alarm set,alarm,alarm,0.662
wake me up with an alarm at 6am,alarm,alarm,1.04
set an alarm for 8 tomorrow,alarm,alarm,0.407
please add alarms at 430am and 1030am,alarm,alarm,0.438
i want an alarm at 5pm,alarm,alarm,2.475
set alarm for noon,alarm,alarm,0.591
"set my alarm for five tomorrow morning, please",alarm,alarm,1.229
i need alarm for both 4am and 7am,alarm,alarm,0.342
i need alarms set for 6am and 615am,alarm,alarm,0.454
